Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
78	-2	-10.5	100	102.6666667	102.1	-1.25	-14	1.07	-982.9	-1500	1377	1736	500	2	7	18	88	0.791	1.198	55.364	6.337	0.249851	0.053031
79	-3	0	110	110	112.8	-1.28	-3.7	1.07	-1025.8	-1500	1501	1860	500	2	7	18	88	0.791	1.192	55.277	6.333	0.247779	0.050096
80	-1	1	110	110	113.1	-1.38	-4.5	1.07	-1022.9	-1500	1501	1860	500	2	7	18	88	0.791	1.184	55.219	6.331	0.267874	0.049821
81	-4	1.5	109	110	112.2	-1.18	-3.2	1.07	-999.7	-1500	1501	1860	500	2	7	18	88	0.791	1.173	55.381	6.337	0.258291	0.049082
82	-5	7	117	117.3333333	121.6	-1.4	1.2	1.07	-946.3	-1500	1625	1984	500	2	7	18	88	0.791	1.175	55.258	6.33	0.263863	0.042869
83	-5	7	117	117.3333333	121.5	-1.32	2	1.07	-959.1	-1500	1625	1984	500	2	7	18	88	0.791	1.165	55.3	6.332	0.254759	0.043484
84	-4.25	7.5	117	117.3333333	121.2	-1.29	2.3	1.07	-1000	-1500	1625	1984	500	2	7	18	88	0.791	1.199	55.37	6.331	0.259687	0.045451
85	-7.75	12	126	124.6666667	129.7	-1.43	5.9	1.07	-958.2	-1500	1749	2108	500	2	7	18	88	0.791	1.171	55.205	6.33	0.265301	0.040697
86	-6	9	125	124.6666667	129.1	-1.63	3.2	1.07	-957.5	-1500	1749	2108	500	2	7	18	88	0.791	1.203	55.178	6.322	0.262296	0.040856
87	-6	9.5	123	124.6666667	128.3	-1.54	3.5	1.07	-927.6	-1500	1749	2108	500	2	7	18	88	0.791	1.191	55.347	6.324	0.263002	0.039827
88	-7.5	11	131	132	135	-1.78	4.3	1.07	-904.5	-1500	1873	2232	500	2	7	18	88	0.791	1.186	55.107	6.311	0.268564	0.036908
89	-8	12	131	132	134.6	-1.58	6.2	1.07	-885.5	-1500	1873	2232	500	2	7	18	88	0.791	1.193	55.294	6.319	0.257081	0.03624
90	-8.75	14	131	132	135.5	-1.53	7.2	1.07	-807.7	-1500	1873	2232	500	2	7	18	88	0.791	1.187	55.183	6.324	0.266001	0.032836
91	-9.5	10.5	136	139.3333333	140.4	-1.89	4.3	1.07	-649.7	-1500	1997	2356	500	2	7	18	88	0.791	1.231	55.234	6.309	0.249716	0.025491
92	-8	12.5	136	139.3333333	140.4	-1.74	7.1	1.07	-867.1	-1500	1997	2356	500	2	7	18	88	0.791	1.209	55.223	6.313	0.252038	0.034021
93	-8.5	13	136	139.3333333	141.1	-1.73	7	1.07	-749.1	-1500	1997	2356	500	2	6	18	88	0.791	1.241	55.141	6.312	0.252248	0.029245
94	-9.5	10.5	139	146.6666667	143.3	-1.85	5	1.07	-535.8	-1500	2121	2480	500	2	6	18	88	0.791	1.317	55.304	6.305	0.231706	0.020597
95	-8	8	139	146.6666667	143	-2.06	3.1	1.07	-596.7	-1500	2121	2480	500	2	6	18	88	0.791	1.269	55.146	6.3	0.231559	0.022986
96	-8.5	8.5	139	146.6666667	143.3	-1.97	4.3	1.07	-626.8	-1500	2121	2480	500	2	6	18	88	0.791	1.307	55.23	6.305	0.224344	0.024095
97	-4.5	7	141	154	144.5	-2.08	-0.8	1.07	-271.7	-1500	2245	2604	500	4	6	18	70	0.791	2.211	54.75	6.295	0.213002	0.010358
