Walt Disney Company (DIS)					
Daily prices (3/29/96 to 3/29/99)					
DATE   	OPEN	HIGH   	LOW   	CLOSE   	VOLUME
12/2/97	32.2774	32.583	31.896	32.188	4425900
12/1/97	31.2629	32.646	31.375	32.542	3707100
11/28/97	31.3872	31.771	31.542	31.646	1642800
11/27/97	NaN	NaN   	NaN   	NaN   	NaN
11/26/97	31.1387	31.792	31.313	31.5	3929400
11/25/97	30.9731	31.417	30.958	31.208	4160700
11/24/97	31.2008	31.396	30.854	31.208	7087800
11/21/97	30.1863	31.583	30.333	31.583	7501200
11/20/97	30.2277	30.542	30.167	30.229	7054800
11/19/97	29.7101	30.458	29.792	30.458	4879200
11/18/97	29.234	30.104	29.25	29.75	6330600
11/17/97	29.1511	29.917	29.292	29.667	4992600
11/14/97	28.2609	29.167	28.375	28.896	4791000
11/13/97	27.764	28.438	27.938	28.229	4341900
11/12/97	28.323	28.771	27.688	27.688	4328400
11/11/97	28.4679	28.896	28.5	28.667	1747800
11/10/97	28.882	29.083	28.458	28.479	2104200
11/7/97	28.1573	29.167	28.167	28.771	4313400
11/6/97	28.1573	28.917	28.167	28.792	4171500
11/5/97	28.3023	28.771	28.313	28.375	4007100
11/4/97	28.3851	28.771	28.375	28.75	3433800
11/3/97	27.619	28.5	27.729	28.5	3628200
10/31/97	27.1014	27.75	27.229	27.458	3472800
10/30/97	27.0807	27.708	26.833	26.875	3646500
10/29/97	27.2671	27.917	27.083	27.646	5003700
10/28/97	24.8447	27.583	25	27.438	9017700
10/27/97	27.1222	27.604	25.917	25.917	5350800
10/24/97	27.8882	28.292	27.375	27.458	6557100
10/23/97	27.2878	27.646	27.208	27.438	3955500
10/22/97	27.7226	28.125	27.667	27.688	3119100
10/21/97	27.764	28.042	27.688	27.896	2839800
10/20/97	27.5569	27.875	27.5	27.854	3186600
10/17/97	27.9503	28.167	27.104	27.542	5875500
10/16/97	28.6957	28.917	27.854	28.313	3958500
10/15/97	28.5714	29.271	28.583	28.958	5257800
10/14/97	28.197	28.958	28.292	28.813	3695700
10/13/97	27.8456	28.292	28.042	28.208	1482900
10/10/97	27.7009	28.021	27.75	27.896	2766900
10/9/97	27.7009	28.146	27.771	28.063	2363700
10/8/97	28.073	28.313	27.708	28	4362600
10/7/97	27.6389	28.479	27.75	28.396	3284100
10/6/97	27.9076	28.167	27.583	27.667	2635200
10/3/97	28.3831	28.604	28	28.125	5564400
10/2/97	27.2668	27.979	27.417	27.938	5108700
10/1/97	26.7913	27.458	26.938	27.333	4196700
9/30/97	26.3779	27.146	26.583	26.875	3717000
9/29/97	26.2125	27	26.375	26.667	3144600
9/26/97	26.2538	26.729	26.396	26.5	3300300
9/25/97	26.0471	26.542	26.083	26.542	3092700
9/24/97	26.1505	26.646	26.229	26.229	3011700
9/23/97	26.3572	26.563	26.208	26.333	2685000
9/22/97	26.4606	26.729	26.5	26.521	2886600
9/19/97	26.3779	26.646	26.417	26.646	3940500
9/18/97	26.0471	26.604	25.917	26.438	5262300
9/17/97	26.5433	26.75	26.167	26.292	3650700
9/16/97	25.613	26.458	25.792	26.354	3652500
9/15/97	25.5717	25.854	25.583	25.729	2361600
9/12/97	25.1996	25.771	25.292	25.708	4655400
9/11/97	25.3856	25.625	24.813	25.25	7174500
9/10/97	25.8817	26.146	25.896	25.917	2200200
9/9/97	25.7577	26.375	25.813	26.167	2766000
9/8/97	26.1918	26.396	25.958	25.958	2262600
9/5/97	25.9231	26.208	25.833	26.063	3425700
9/4/97	26.2745	26.5	25.771	25.896	5181600
9/3/97	26.1298	26.708	26.333	26.521	3021600
9/2/97	25.4683	26.333	25.667	26.333	2701500
9/1/97	NaN	NaN   	NaN   	NaN   	NaN
8/29/97	25.5096	26.042	25.604	25.604	2767800
8/28/97	25.9644	26.292	25.708	25.917	4162800
8/27/97	25.675	26.333	25.625	26.167	3421800
8/26/97	25.9231	26.229	25.833	25.833	2922300
8/25/97	25.9024	26.354	25.958	26.104	2670900
8/22/97	25.5303	26.104	25.729	26.042	3597300
8/21/97	26.5433	26.813	26.146	26.292	3002700
8/20/97	26.3572	26.875	26.417	26.792	3994200
8/19/97	26.0264	26.563	26	26.563	7335600
8/18/97	25.5923	26.271	25.333	26.208	5800500
8/15/97	25.675	26.208	25.5	25.542	5018400
8/14/97	26.2125	26.688	25.875	26.292	4612500
8/13/97	26.1918	26.646	25.792	26.333	5436900
8/12/97	26.3365	26.792	26.083	26.125	5461500
8/11/97	26.1918	26.729	25.875	26.542	3927900
8/8/97	25.9644	26.479	26.042	26.396	3895800
8/7/97	26.7913	27.083	26.313	26.375	3476700
8/6/97	26.3985	27	26.542	26.938	3454200
8/5/97	26.7913	27	26.604	26.646	3695400
8/4/97	26.5846	27.125	26.604	26.979	3758700
8/1/97	26.7293	27.104	26.75	26.854	4198200
7/31/97	26.9154	27.229	26.938	26.938	3761400
7/30/97	26.688	27.083	26.813	26.979	4751700
7/29/97	26.3365	26.813	26.5	26.708	4495200
7/28/97	26.1298	26.604	26.333	26.542	3028500
7/25/97	26.2125	26.417	26.083	26.333	4177500
7/24/97	25.7784	26.542	25.5	26.438	5226300
7/23/97	26.1918	26.542	25.917	25.979	6349500
7/22/97	25.2616	26	25.083	25.875	8390400
7/21/97	25.0962	25.313	24.604	25.063	4784100
7/18/97	25.4683	25.667	25.083	25.292	7125300
